번호,명칭,소재지,지정일
1호,서울 숭례문,서울 중구 세종대로 40 (남대문로4가),1962년12월 20일지정
2호,"서울 원각사지 십층석탑(서울 圓覺寺址 十層石塔)(Ten-story Stone Pagoda at Wongaksa Temple Site, Seoul)",서울 종로구 종로 99 (종로2가),"1962년12월 20일지정,2010년12월 27일명칭변경"
3호,"서울 북한산 신라 진흥왕 순수비(서울 北漢山 新羅 眞興王 巡狩碑)(Monument on Bukhansan Mountain Commemorating the Border Inspection by King Jinheung of Silla, Seoul)","서울 용산구 서빙고로 137,국립중앙박물관 (용산동6가)","1962년12월 20일지정,2010년12월 27일명칭변경"
4호,"여주 고달사지 승탑(驪州 高達寺址 僧塔)(Stupa at Godalsa Temple Site, Yeoju)",경기 여주시 북내면 상교리 411-1,"1962년12월 20일지정,2010년12월 27일명칭변경"
5호,"보은 법주사 쌍사자 석등(報恩 法住寺 雙獅子 石燈)(Twin Lion Stone Lantern of Beopjusa Temple, Boeun)","충북 보은군 속리산면 법주사로 379,법주사 (사내리)","1962년12월 20일지정,2010년12월 27일명칭변경"
6호,"충주 탑평리 칠층석탑(忠州 塔坪里 七層石塔)(Seven-story Stone Pagoda in Tappyeong-ri, Chungju)",충북 충주시중앙탑면중앙탑길 225,"1962년12월 20일지정,2010년12월 27일명칭변경"
7호,"천안 봉선홍경사 갈기비(天安 奉先弘慶寺 碣記碑)(Stele for the Construction of Bongseonhonggyeongsa Temple, Cheonan)",충남 천안시 서북구 성환읍 대홍3길 77-48 (대홍리),"1962년12월 20일지정,2010년12월 27일명칭변경"
8호,"보령 성주사지 낭혜화상탑비(保寧 聖住寺址 郎慧和尙塔碑)(Stele for Buddhist Monk Nanghye at Seongjusa Temple Site, Boryeong)",충남 보령시 성주면 성주리 80-4,"1962년12월 20일지정,2010년12월 27일명칭변경"
9호,"부여 정림사지 오층석탑(扶餘 定林寺址 五層石塔)(Five-story Stone Pagoda at Jeongnimsa Temple Site, Buyeo)",충남 부여군 부여읍 정림로 83,"1962년12월 20일지정,2010년12월 27일명칭변경"
10호,"남원 실상사 백장암 삼층석탑(南原 實相寺 百丈庵 三層石塔)(Three-story Stone Pagodaat Baekjangam Hermitage of Silsangsa Temple, Namwon)",전북 남원시 산내면 천왕봉로 447-76,"1962년12월 20일지정,2010년12월 27일명칭변경"
11호,"익산 미륵사지 석탑(益山 彌勒寺址 石塔)(Stone Pagoda at Mireuksa Temple Site, Iksan)",전북 익산시 금마면 기양리 97,"1962년12월 20일지정,2010년12월 27일명칭변경"
12호,"구례 화엄사 각황전 앞 석등(求禮 華嚴寺 覺皇殿 앞 石燈)(Stone Lantern at Gakhwangjeon Hall of Hwaeomsa Temple, Gurye)","전남 구례군 마산면 화엄사로 539,화엄사 (황전리)","1962년12월 20일지정,2010년12월 27일명칭변경"
13호,"강진 무위사 극락보전(康津 無爲寺 極樂寶殿)(Geungnakbojeon Hall of Muwisa Temple, Gangjin)","전남 강진군 성전면 무위사로 308,무위사 (월하리)",1962년12월 20일지정
14호,"영천 은해사 거조암 영산전(永川 銀海寺 居祖庵 靈山殿)(Yeongsanjeon Hall of Geojoam Hermitage of Eunhaesa Temple, Yeongcheon)","경북 영천시 청통면 거조길 400-67,은해사 거조암 (신원리)",1962년12월 20일지정
15호,"안동 봉정사 극락전(安東 鳳停寺 極樂殿)(Geungnakjeon Hall of Bongjeongsa Temple, Andong)","경북 안동시 서후면 봉정사길 222,봉정사 (태장리)",1962년12월 20일지정
16호,"안동 법흥사지 칠층전탑(安東 法興寺址 七層塼塔)(Seven-story Brick Pagoda at Beopheungsa Temple Site, Andong)",경북 안동시 법흥동 8-1,"1962년12월 20일지정,2010년12월 27일명칭변경"
17호,"영주 부석사 무량수전 앞 석등(榮州 浮石寺 無量壽殿 앞 石燈)(Stone Lantern at Muryangsujeon Hall of Buseoksa Temple, Yeongju)",경북 영주시 부석면 북지리 148 부석사,"1962년12월 20일지정,2010년12월 27일명칭변경"
18호,"영주 부석사 무량수전(榮州 浮石寺 無量壽殿)(Muryangsujeon Hall of Buseoksa Temple, Yeongju)",경북 영주시 부석면 북지리 148 부석사,1962년12월 20일지정
19호,"영주 부석사 조사당(榮州 浮石寺 祖師堂)(Josadang Shrine of Buseoksa Temple, Yeongju)",경북 영주시 부석면 부석사로 345 (북지리),1962년12월 20일지정
20호,"경주 불국사 다보탑(慶州 佛國寺 多寶塔)(Dabotap Pagoda of Bulguksa Temple, Gyeongju)","경북 경주시 불국로 385,불국사 (진현동)","1962년12월 20일지정,2010년12월 27일명칭변경"
21호,"경주 불국사 삼층석탑(慶州 佛國寺 三層石塔)(Three-story Stone Pagoda of Bulguksa Temple, Gyeongju)","경북 경주시 불국로 385, 불국사 (진현동)","1962년12월 20일지정,2010년12월 27일명칭변경"
22호,"경주 불국사 연화교 및 칠보교(慶州 佛國寺 蓮華橋 및 七寶橋)(Yeonhwagyo and Chilbogyo Bridges of Bulguksa Temple, Gyeongju)","경북 경주시 불국로 385,불국사 (진현동)","1962년12월 20일지정,2010년12월 27일명칭변경"
23호,"경주 불국사 청운교 및 백운교(慶州 佛國寺 靑雲橋 및 白雲橋)(Cheongungyo and Baegungyo Bridges of Bulguksa Temple, Gyeongju)","경북 경주시 불국로 385,불국사 (진현동)","1962년12월 20일지정,2010년12월 27일명칭변경"
24호,"경주 석굴암 석굴(慶州 石窟庵 石窟)(Seokguram Grotto, Gyeongju)","경북 경주시 불국로 873-243, 석굴암 (진현동)","1962년12월 20일지정,2010년12월 27일명칭변경"
25호,"경주 태종무열왕릉비(慶州 太宗武烈王陵碑)(Stele for King Taejong Muyeol, Gyeongju)",경북 경주시 서악동 844-1,"1962년12월 20일지정,2010년12월 27일명칭변경"
26호,"경주 불국사 금동비로자나불좌상(慶州 佛國寺 金銅毘盧遮那佛坐像)(Gilt-bronze Seated Vairocana Buddha of Bulguksa Temple, Gyeongju)",경북 경주시 진현동 15 불국사,"1962년12월 20일지정,2010년6월 28일명칭변경"
27호,"경주 불국사 금동아미타여래좌상(慶州 佛國寺 金銅阿彌陀如來坐像)(Gilt-bronze Seated Amitabha Buddha of Bulguksa Temple, Gyeongju)",경북 경주시 진현동 15 불국사,"1962년12월 20일지정,2010년6월 28일명칭변경"
