title,address,telNo
구인사(단양),충청북도 단양군 영춘면 구인사길 73,
원대리 자작나무 숲 (속삭이는 자작나무 숲),강원특별자치도 인제군 인제읍 자작나무숲길 760,자작나무숲 안내소 033-463-0044
감악산(거창),경상남도 거창군 남상면 무촌리 산295번지 일원(신원면 구사리 산12-1 인근),055-940-8227
임진강 댑싸리공원,경기도 연천군 중면 삼곶리,031-839-2609
홍천 은행나무숲,강원특별자치도 홍천군 내면 광원리 686-4,033-433-1259
단양 보발재,충청북도 단양군 가곡면,043-422-1146
경북천년숲정원,경상북도 경주시 통일로 366-4 가든센터 ,054-778-3840
삼성궁,경상남도 하동군 청암면 삼성궁길 86-15,055-884-1279
화담숲,경기도 광주시 도척면 도척윗로 278-1,031-8026-6666
원주 소금산 출렁다리,강원특별자치도 원주시 지정면 소금산길 12,
간월재,울산광역시 울주군 상북면 간월산길 614,052-204-1727
신소양체육공원,경상남도 합천군 합천읍 합천대로 2971,"055-930-3544
"
길상사(서울),서울특별시 성북구 선잠로5길 68,02-3672-5945
장태산자연휴양림,대전광역시 서구 장안로 461,042-270-7885
양주 나리공원,경기도 양주시 광사동,
월류봉 둘레길,충청북도 영동군 황간면 원촌리,	043-740-3633
단양강 잔도,충청북도 단양군 적성면 애곡리,043-422-1146
스페이스워크,경상북도 포항시 북구 환호공원길 30,054-270-5176 / 5180
온빛자연휴양림,충청남도 논산시 벌곡면 황룡재로 494,041-742-9091
안성팜랜드,경기도 안성시 공도읍 대신두길 28,031-8053-7979
원주 반계리 은행나무,강원특별자치도 원주시 문막읍 반저리2길 42,033-737-2808
월정사·월정사 전나무숲,강원특별자치도 평창군 진부면 오대산로 374-8,033-339-6800
지리산 천왕봉,경상남도 산청군 시천면 지리산대로,
금산 보리암(남해),경상남도 남해군 상주면 보리암로 665,
용궐산하늘길,전북특별자치도 순창군 동계면 장군목길 562,순창군 산림공원과 063-650-5660~3
수선사,경상남도 산청군 산청읍 웅석봉로154번길 102-23,"055-973-1096
"
퍼플교,전라남도 신안군 안좌면 소곡두리길 257-35,"061-240-
신안군청 문화관광과 061-240-8683"
안반데기 마을 ,강원특별자치도 강릉시 왕산면 안반데기길 428,전화번호 없음
부소담악(추소정),충청북도 옥천군 군북면 환산로 518, 043-730-3413
